Phase,Version,Domaine,ID_Tache,Titre,Description,Prompt_IA,Dependances,Statut,Priorite,Post_Marketing,LinkedIn,Twitter_X,Facebook
PHASE 0 — SETUP,SETUP,INFRA,S-001,Créer le dépôt GitHub monorepo,"Créer un repo GitHub avec structure monorepo : /frontend (Next.js), /backend (NestJS), /shared (types communs). Initialiser avec README et .gitignore.","Prompt IA : 'Génère la structure de dossiers pour un monorepo Next.js + NestJS avec un dossier /shared pour les types TypeScript partagés. Inclus le .gitignore, le README.md et un package.json root avec workspaces npm.'",,Terminé,CRITIQUE,,,,
PHASE 0 — SETUP,SETUP,INFRA,S-002,Configurer Docker Compose (Linux/VPS),Créer docker-compose.yml pour lancer PostgreSQL 15 + Redis 7 en local sur Linux. Volumes persistants + healthchecks.,"Prompt IA : 'Crée un fichier docker-compose.yml pour Linux/VPS avec : PostgreSQL 15 (port 5432, user: elitcoach, password: elitcoach, db: elitcoach_dev), Redis 7 (port 6379). Volume persistant postgres_data. Healthcheck sur les deux. Réseau bridge dédié elitcoach_net.'",S-001,Terminé,CRITIQUE,,,,
PHASE 0 — SETUP,SETUP,INFRA,S-003,Lancer le container Docker (Linux),Installer Docker + Docker Compose sur le VPS Linux si pas encore fait. Lancer les services et vérifier la connexion Postgres.,Commandes Linux : sudo apt update && sudo apt install -y docker.io docker-compose | sudo systemctl enable docker | sudo usermod -aG docker $USER | docker compose up -d | docker compose ps | docker exec -it elitcoach_postgres psql -U elitcoach -d elitcoach_dev -c '\l',S-002,Terminé,CRITIQUE,,,,
PHASE 0 — SETUP,SETUP,BACKEND,S-004,Initialiser le projet NestJS (backend),"Créer le projet NestJS dans /backend. Installer : @nestjs/config, prisma, @prisma/client, bcrypt, @nestjs/jwt, @nestjs/passport, class-validator, bull, @nestjs/bull, socket.io.","Commandes Linux : cd /backend && npm i -g @nestjs/cli && nest new . --strict --package-manager npm | npm install @nestjs/config @prisma/client prisma bcrypt @nestjs/jwt @nestjs/passport passport passport-jwt class-validator class-transformer bull @nestjs/bull ioredis @nestjs/websockets socket.io | Prompt IA : 'Crée la structure de modules NestJS : /src/modules/auth, /src/modules/coaches, /src/modules/clients, /src/modules/sessions, /src/modules/messages, /src/modules/goals, /src/modules/admin, /src/common/guards, /src/common/decorators, /src/common/prisma.'",S-001,Terminé,CRITIQUE,,,,
PHASE 0 — SETUP,SETUP,BACKEND,S-005,Configurer Prisma + connexion BDD,Créer prisma/schema.prisma avec datasource PostgreSQL. Créer PrismaService injectable dans NestJS. Tester la connexion.,Prompt IA : 'Configure Prisma dans NestJS sur Linux. Crée prisma/schema.prisma avec datasource postgresql et generator client. Crée un PrismaModule avec PrismaService (extends PrismaClient) injectable globalement. Fichier .env avec DATABASE_URL=postgresql://elitcoach:elitcoach@localhost:5432/elitcoach_dev. Commande test : npx prisma db push',"S-003, S-004",Terminé,CRITIQUE,,,,
PHASE 0 — SETUP,SETUP,FRONTEND,S-006,Initialiser le projet Next.js (frontend),"Créer le projet Next.js 14 dans /frontend avec App Router, TypeScript strict, Tailwind CSS. Configurer la couleur dorée custom.","Commandes Linux : cd /frontend && npx create-next-app@latest . --typescript --tailwind --app --eslint | Prompt IA : 'Configure tailwind.config.ts avec couleur custom : gold: { DEFAULT: ""#C9A84C"", light: ""#E8C97A"", dark: ""#A07830"" }. Crée le fichier .env.local avec NEXT_PUBLIC_API_URL=http://localhost:3001. Installe : react-hook-form zod @hookform/resolvers axios stripe @stripe/react-stripe-js @stripe/stripe-js socket.io-client recharts'",S-001,Terminé,CRITIQUE,,,,
PHASE 0 — SETUP,SETUP,SERVICES,S-007,Créer les comptes services gratuits (0€),"Créer les comptes gratuits : Supabase (BDD prod + storage), Brevo (emails transac), Stripe (mode test), Cloudinary (vidéos), Upstash (Redis cloud). Tous ont un free tier suffisant pour le lancement.",Ordre de création : 1. supabase.com → new project → copier DATABASE_URL de Settings/Database. 2. brevo.com → copier BREVO_API_KEY de Settings/API. 3. stripe.com → activer mode test → copier STRIPE_SECRET_KEY + STRIPE_PUBLISHABLE_KEY. 4. cloudinary.com → copier CLOUDINARY_URL. 5. upstash.com → Redis → copier REDIS_URL. Tout noter dans un fichier .env.example (sans les vraies clés).,S-001,À faire (toi),CRITIQUE,,,,
PHASE 0 — SETUP,SETUP,SERVICES,S-008,Configurer les variables d'environnement,Créer /backend/.env avec toutes les clés. Vérifier que .env est dans .gitignore. Créer .env.example avec les clés vides pour la documentation.,Variables backend/.env : DATABASE_URL=postgresql://elitcoach:elitcoach@localhost:5432/elitcoach_dev | JWT_SECRET=dev_secret_change_in_prod | JWT_REFRESH_SECRET=dev_refresh_secret | JWT_ACCESS_EXPIRY=15m | JWT_REFRESH_EXPIRY=7d | STRIPE_SECRET_KEY=sk_test_... | STRIPE_WEBHOOK_SECRET=whsec_test_... | BREVO_API_KEY=xkeysib-... | EMAIL_FROM=hello@elitcoach.co | CLOUDINARY_URL=cloudinary://... | SUPABASE_URL=https://xxx.supabase.co | SUPABASE_SERVICE_KEY=eyJ... | REDIS_URL=redis://localhost:6379 | FRONTEND_URL=http://localhost:3000 | PORT=3001 | NODE_ENV=development,S-007,Terminé,CRITIQUE,,,,
PHASE 0 — SETUP,SETUP,MARKETING,S-009,Créer la page LinkedIn Zero to One,"Créer la page LinkedIn dédiée 'Zero to One' (pas le compte perso). Branding sobre luxe : fond noir, logo minimal, bio axée SaaS. Publier le premier post de lancement.","Étapes : 1. Sur LinkedIn → Créer une page → Entreprise → Nom : Zero to One. 2. Description : 'On construit des SaaS de zéro aux premiers revenus. En public. Sans capital. Chaque décision, chaque bug, chaque euro.' 3. Logo : typographie sobre blanc sur noir (Canva gratuit). 4. Photo de couverture : fond #0D0D0D avec texte '#buildinpublic' en blanc discret. 5. Publier le post ci-dessous.",,Terminé,CRITIQUE,POST LANCEMENT DE LA PAGE — Publier dès la page créée,"Zero to One — on construit en public.

J'ai décidé de documenter chaque étape de la construction d'un SaaS : de zéro aux premiers revenus.

Pas de teasing. Pas de résultats retouchés.
Les vraies tâches, les vrais blocages, les vraies décisions.

Premier projet : ElitCoach.
Une plateforme de coaching premium avec une différence fondamentale : on filtre les coachs ET les clients.

Jour 1 démarre aujourd'hui.

Si tu veux suivre cette aventure → abonne-toi à cette page.

#buildinpublic #saas #zerotoone #indiehacker","Construire un SaaS de zéro en public.

Sans investisseur. Sans équipe. En documentant tout.

Projet 1 : ElitCoach — coaching premium avec double sélection.

Day 1. 🧵

#buildinpublic #saas","On démarre Zero to One — construire des SaaS en public, de l'idée aux premiers revenus.

Projet 1 : ElitCoach — la plateforme de coaching qui filtre les coachs ET les clients.

On documente tout : les victoires, les bugs, les vraies chiffres.

Si ça t'intéresse de suivre l'aventure → abonne-toi 👇

#buildinpublic #saas #entrepreneuriat"
PHASE 0 — SETUP,SETUP,MARKETING,S-010,Réserver le domaine elitcoach.co,Vérifier disponibilité et acheter elitcoach.co sur Cloudflare Registrar (~10$/an). DNS à configurer plus tard.,Sur Cloudflare Registrar : rechercher elitcoach.co → acheter. DNS initiaux : pointer vers une page 'coming soon' (Vercel par défaut). Aucun coût supplémentaire si déjà abonné Cloudflare free.,,À faire (toi),HAUTE,,,,
